status.region;регіон
status.chunk;чанк
status.block;блок
status.selected;виділено
status.queue;черга
status.total;загалом
status.structures;структури
status.overlay;накладання
menu.file;Файл
menu.view;Перегляд
menu.selection;Виділення
menu.tools;Інструменти
menu.about;Про
menu.file.new;Новий
menu.file.open;Відкрити
menu.file.open_recent;Відкрити нещодавно
menu.file.open_recent.clear;Очистити
menu.file.save;Зберегти
menu.file.save_as;Зберегти як...
menu.file.open_world;Відкрити світ
menu.file.open_dimension;Відкрити вимір
menu.file.open_recent_world;Відкрити останній світ
menu.file.open_recent_world.clear;Очистити
menu.file.settings;Налаштування
menu.file.render_settings;Відмальовка
menu.file.quit;Вийти
menu.view.reload;Перезавантажити
menu.view.chunk_grid;Сітка чанків
menu.view.region_grid;Сітка регіонів
menu.view.coordinates;Координати
menu.view.coordinate_style;Стиль координат
menu.view.coordinate_style.dynamic;Динамічний
menu.view.coordinate_style.edge;По краях
menu.view.coordinate_style.grid;Сітка
menu.view.structure_icons;Структури
menu.view.select_structures;Вибрати структури
menu.view.goto;Переміститися
menu.view.reset_zoom;Скинути наближення
menu.view.save_screenshot;Зберегти знімок екрана
menu.view.clear_cache;Очистити кеш
menu.view.clear_all_cache;Очистити весь кеш
menu.selection.clear;Очитити вибірку
menu.selection.invert;Вставити
menu.selection.invert_regions;Вставити виділений регіон
menu.selection.copy_chunks;Копіювати чанки
menu.selection.paste_chunks;Вставити чанки
menu.selection.export_chunks;Експортувати виділені чанки
menu.selection.delete_chunks;Видалити виділені чанки
menu.selection.import_selection;Імпортувати виділення з .csv файлу
menu.selection.export_selection;Зберегти виділення як .csv файл
menu.selection.export_image;Зберегти як зображення
menu.selection.clear_cache;Очистити кеш
menu.tools.import_chunks;Імпортувати чанки
menu.tools.filter_chunks;Фільтрувати чанки
menu.tools.change_fields;Змінити параметри
menu.tools.edit_nbt;Редагувати чанки
menu.tools.swap_chunks;Переставити чанки
menu.tools.edit_overlays;Редагувати накладання
menu.tools.next_overlay;Наступне накладання
menu.tools.next_overlay_type;Наступний тип накладання
menu.tools.sum_selection;Сума відбору
dialog.select_world.title;Вибрати вимір
dialog.settings.title;Налаштування
dialog.settings.global.language;Мова
dialog.settings.global.language.language;Мова
dialog.settings.processing.process.process_threads;Оброблюючі потоки
dialog.settings.processing.process;Обробка
dialog.settings.processing.process.write_threads;Записуючі потоки
dialog.settings.processing.files.max_files;Максимальна кількість файлів
dialog.settings.global.selection.region_color;Колір регіону
dialog.settings.global.selection.chunk_color;Колір чанку
dialog.settings.global.selection.pasted_chunks_color;Колір вставлених чанків
dialog.settings.rendering.shade.shade;Відтінок
dialog.settings.rendering.shade;Відтінок
dialog.settings.rendering.shade.shade_water;Відтінок води
dialog.settings.rendering.shade.shade_altitude;Висота рельєфу
dialog.settings.rendering.background.show_nonexistent_regions;Показувати неіснуючі регіони
dialog.settings.rendering.smooth.smooth_rendering;Гладка відмальовка
dialog.settings.rendering.smooth.smooth_overlays;Гладке накладання
dialog.settings.rendering.background.background_pattern;Патерн фону
dialog.settings.rendering.background;Фон
dialog.settings.rendering.zoom_level.low_detail_zoom_level;Рівень масштабу низької деталізації
dialog.settings.rendering.zoom_level.low_detail_color;Колір низької деталізації
dialog.settings.rendering.zoom_level;Рівень масштабу
dialog.settings.global.misc.mc_saves_dir;Папка збережень
dialog.settings.global.misc.print_debug;Відображати повідомлення налагодження
dialog.settings.global.misc.show_log_file;Відображати логи
dialog.settings.reset;Скинути налаштування
dialog.settings.set_default;Встановити як за замовчуванням
