status.region;區域
status.chunk;區塊
status.block;方塊
status.selected;已選擇
status.queue;隊列
status.total;區域總數
status.overlay;覆蓋
menu.file;檔案
menu.view;檢視
menu.selection;選擇
menu.tools;工具
menu.about;關於
menu.file.new;新建
menu.file.open;打開
menu.file.open_recent;打開最近的
menu.file.open_recent.clear;清除
menu.file.save;保存
menu.file.save_as;另存為...
menu.file.open_world;開啟世界
menu.file.open_dimension;打開另一個維度
menu.file.open_recent_world;打開一個以前的世界
menu.file.open_recent_world.clear;重置
menu.file.settings;設定
menu.file.render_settings;渲染設定
menu.file.quit;退出
menu.view.reload;重新載入
menu.view.chunk_grid;區塊網格
menu.view.region_grid;區域網格
menu.view.coordinates;坐標
menu.view.goto;轉到
menu.view.reset_zoom;重設縮放
menu.view.save_screenshot;儲存截圖
menu.view.clear_cache;清除緩存
menu.view.clear_all_cache;清除所有緩存
menu.selection.clear;清除
menu.selection.invert;反相選取
menu.selection.invert_regions;反轉選定區域
menu.selection.copy_chunks;複製區塊
menu.selection.paste_chunks;貼上區塊
menu.selection.export_chunks;匯出已選擇的區塊
menu.selection.delete_chunks;刪除已選擇的區塊
menu.selection.import_selection;從 .csv 導入選擇
menu.selection.export_selection;將選擇導出為 .csv
menu.selection.export_image;導出為圖像
menu.selection.clear_cache;清除緩存
menu.tools.import_chunks;匯入區塊
menu.tools.filter_chunks;篩選區塊
menu.tools.change_fields;變更欄位
menu.tools.edit_nbt;編輯區塊
menu.tools.swap_chunks;交換區塊
menu.tools.edit_overlays;編輯疊加
menu.tools.next_overlay;下一個疊加
menu.tools.next_overlay_type;疊加類型
menu.tools.sum_selection;選擇總和
dialog.select_world.title;選擇維度
dialog.settings.title;設定
dialog.settings.global.language;語言
dialog.settings.global.language.language;語言
dialog.settings.processing.process.process_threads;執行緒
dialog.settings.processing.process;過程
dialog.settings.processing.process.write_threads;寫入執行緒
dialog.settings.processing.files.max_files;最大檔案數
dialog.settings.global.selection.region_color;區域顏色
dialog.settings.global.selection.chunk_color;區塊顏色
dialog.settings.global.selection.pasted_chunks_color;貼上的區塊顏色
dialog.settings.rendering.shade.shade;陰影
dialog.settings.rendering.shade;陰影
dialog.settings.rendering.shade.shade_water;遮蔭水
dialog.settings.rendering.shade.shade_altitude;地形高度
dialog.settings.rendering.background.show_nonexistent_regions;顯示不存在的區域
dialog.settings.rendering.smooth.smooth_rendering;平滑渲染
dialog.settings.rendering.smooth.smooth_overlays;平滑疊加
dialog.settings.rendering.background.background_pattern;背景圖案
