status.region;Região
status.chunk;Chunk
status.block;Bloco
status.selected;Selecionado
status.queue;Fila
status.total;Região total
status.structures;estruturas
status.overlay;sobreposição
menu.file;Arquivo
menu.view;Visão
menu.selection;Seleção
menu.tools;Ferramentas
menu.about;Sobre
menu.file.new;Novo
menu.file.open;Abrir
menu.file.open_recent;Abrir recente
menu.file.open_recent.clear;Limpar
menu.file.save;Salvar
menu.file.save_as;Salvar como...
menu.file.open_world;Abrir mundo
menu.file.open_dimension;Abra outra dimensão
menu.file.open_recent_world;Abra mundo anterior
menu.file.open_recent_world.clear;Reiniciar
menu.file.settings;Configuração
menu.file.render_settings;Configurações de renderização
menu.file.quit;Sair
menu.view.reload;Recarregar
menu.view.chunk_grid;Grade de chunks
menu.view.region_grid;Grade de regiões
menu.view.coordinates;Coordenadas
menu.view.coordinate_style;Estilo de coordenadas
menu.view.coordinate_style.dynamic;Dinâmico
menu.view.coordinate_style.edge;Borda
menu.view.coordinate_style.grid;Grade
menu.view.structure_icons;Estruturas
menu.view.select_structures;Selecionar Estruturas
menu.view.goto;Ir para
menu.view.reset_zoom;Redefinir zoom
menu.view.save_screenshot;Salvar captura de tela
menu.view.clear_cache;Limpar cache
menu.view.clear_all_cache;Limpar todo o cache
menu.selection.clear;Limpar
menu.selection.invert;Inverter
menu.selection.invert_regions;Inverter regiões selecionadas
menu.selection.copy_chunks;Copiar chunks
menu.selection.paste_chunks;Colar chunks
menu.selection.export_chunks;Exportar chunks selecionados
menu.selection.delete_chunks;Apagar chunks selecionados
menu.selection.import_selection;Importar seleção de .csv
menu.selection.export_selection;Exportar seleção como .csv
menu.selection.export_image;Exportar como imagem
menu.selection.clear_cache;Apagar cache
menu.tools.import_chunks;Importar chunks
menu.tools.filter_chunks;Filtrar chunks
menu.tools.change_fields;Alterar os campos
menu.tools.edit_nbt;Editar chunk
menu.tools.swap_chunks;Trocar chunks
menu.tools.edit_overlays;Editar sobreposições
menu.tools.next_overlay;Próxima sobreposição
menu.tools.next_overlay_type;Tipo de sobreposição
menu.tools.sum_selection;Soma de seleção
dialog.select_world.title;Selecione uma dimensão
dialog.settings.title;Configuração
dialog.settings.global.language;Idioma
dialog.settings.global.language.language;Idioma
dialog.settings.processing.process.process_threads;Threads de processo
dialog.settings.processing.process;Processo
dialog.settings.processing.process.write_threads;Escreva tópicos
dialog.settings.processing.files.max_files;Arquivos máximos
dialog.settings.global.selection.region_color;Cor da região
dialog.settings.global.selection.chunk_color;Cor do pedaço
dialog.settings.global.selection.pasted_chunks_color;Cor dos pedaços colados
dialog.settings.rendering.shade.shade;Sombra
dialog.settings.rendering.shade;Sombra
dialog.settings.rendering.shade.shade_water;Água de sombra
dialog.settings.rendering.shade.shade_altitude;Altura do terreno
dialog.settings.rendering.background.show_nonexistent_regions;Mostrar regiões inexistentes
dialog.settings.rendering.smooth.smooth_rendering;Renderização suave
dialog.settings.rendering.smooth.smooth_overlays;Sobreposições suaves
dialog.settings.rendering.background.background_pattern;Padrão de fundo
dialog.settings.rendering.background;Fundo
dialog.settings.rendering.zoom_level.low_detail_zoom_level;Nível de zoom de baixo detalhe
dialog.settings.rendering.zoom_level.low_detail_color;Cor de baixo detalhe
dialog.settings.rendering.zoom_level;Nível de zoom
dialog.settings.global.misc.mc_saves_dir;MC salvar dir
dialog.settings.global.misc.print_debug;Imprimir mensagens de depuração
dialog.settings.global.misc.show_log_file;Mostrar arquivo de log
dialog.settings.reset;Resetar
dialog.settings.set_default;Definir como padrão
dialog.settings.tab_global;Global
dialog.settings.tab_processing;Em processamento
dialog.settings.tab_rendering;Renderização
dialog.settings.tab_world;Mundo
dialog.settings.global.misc;Diversos
dialog.settings.processing.files;arquivos
dialog.settings.rendering.smooth;Suave
dialog.settings.global.selection;Seleção
dialog.settings.world.paths;Caminhos
dialog.settings.world.paths.poi;POI
dialog.settings.world.paths.entities;Entidades
dialog.settings.rendering.layers.render_height;Altura de renderização
dialog.settings.rendering.layers.render_layer_only;Camada de renderização apenas
dialog.settings.rendering.layers;Camadas
dialog.settings.rendering.structure_icons;Ícones de estruturas
dialog.settings.rendering.structure_icon_size;Tamanho do ícone
dialog.settings.rendering.structure_icon_border_size;Tamanho da borda
