status.region;region
status.chunk;chunk
status.block;block
status.selected;selected
status.queue;queue
status.total;total
status.overlay;overlay
menu.file;File
menu.view;View
menu.selection;Selection
menu.tools;Tools
menu.about;About
menu.file.new;New
menu.file.open;Open
menu.file.open_recent;Open recent
menu.file.open_recent.clear;Clear
menu.file.save;Save
menu.file.save_as;Save as...
menu.file.open_world;Open World
menu.file.open_dimension;Open Dimension
menu.file.open_recent_world;Open recent World
menu.file.open_recent_world.clear;Clear
menu.file.settings;Settings
menu.file.render_settings;Render Settings
menu.file.quit;Quit
menu.view.reload;Reload
menu.view.chunk_grid;Chunk Grid
menu.view.region_grid;Region Grid
menu.view.coordinates;Coordinates
menu.view.goto;Goto
menu.view.reset_zoom;Reset zoom
menu.view.save_screenshot;Save screenshot
menu.view.clear_cache;Clear cache
menu.view.clear_all_cache;Clear all cache
menu.selection.clear;Clear
menu.selection.invert;Invert
menu.selection.invert_regions;Invert selected regions
menu.selection.copy_chunks;Copy chunks
menu.selection.paste_chunks;Paste chunks
menu.selection.export_chunks;Export selected chunks
menu.selection.delete_chunks;Delete selected chunks
menu.selection.import_selection;Import selection from .csv
menu.selection.export_selection;Export selection as .csv
menu.selection.export_image;Export as image
menu.selection.clear_cache;Clear cache
menu.tools.import_chunks;Import chunks
menu.tools.filter_chunks;Filter chunks
menu.tools.change_fields;Change fields
menu.tools.edit_nbt;Edit chunk
menu.tools.swap_chunks;Swap chunks
menu.tools.edit_overlays;Edit overlays
menu.tools.next_overlay;Next overlay
menu.tools.next_overlay_type;Next overlay type
menu.tools.sum_selection;Sum selection
dialog.select_world.title;Select Dimension
dialog.settings.title;Settings
dialog.settings.global.language;Language
dialog.settings.global.language.language;Language
dialog.settings.processing.process.process_threads;Process threads
dialog.settings.processing.process;Process
dialog.settings.processing.process.write_threads;Write threads
dialog.settings.processing.files.max_files;Max files
dialog.settings.global.selection.region_color;Region color
dialog.settings.global.selection.chunk_color;Chunk color
dialog.settings.global.selection.pasted_chunks_color;Pasted chunks color
dialog.settings.rendering.shade.shade;Shade
dialog.settings.rendering.shade;Shade
dialog.settings.rendering.shade.shade_water;Shade water
dialog.settings.rendering.shade.shade_altitude;Shade altitude
dialog.settings.rendering.background.show_nonexistent_regions;Show nonexistent regions
dialog.settings.rendering.smooth.smooth_rendering;Smooth rendering
dialog.settings.rendering.smooth.smooth_overlays;Smooth overlays
dialog.settings.rendering.background.background_pattern;Background pattern
dialog.settings.rendering.background;Background
dialog.settings.global.misc.mc_saves_dir;MC saves dir
dialog.settings.global.misc.print_debug;Print debug messages
dialog.settings.global.misc.show_log_file;Show log file
dialog.settings.reset;Reset
dialog.settings.tab_global;Global
dialog.settings.tab_processing;Processing
dialog.settings.tab_rendering;Rendering
dialog.settings.tab_world;World
dialog.settings.global.misc;Misc
dialog.settings.processing.files;Files
dialog.settings.rendering.smooth;Smooth
dialog.settings.global.selection;Selection
dialog.settings.world.paths;Paths
dialog.settings.world.paths.poi;POI
dialog.settings.world.paths.entities;Entities
dialog.settings.rendering.layers.render_height;Render height
dialog.settings.rendering.layers.render_layer_only;Render layer only
dialog.settings.rendering.layers;Layers
dialog.settings.rendering.layers.render_caves;Render caves
dialog.goto.title;Goto location
dialog.confirmation.question;Are you sure?
dialog.delete_chunks_confirmation.title;Delete chunks
dialog.delete_chunks_confirmation.header_short;You are about to delete an unknown number of chunks from this world.
dialog.delete_chunks_confirmation.header_verbose;You are about to delete %d chunks from this world.
dialog.image_export_confirmation.title;Export image
dialog.image_export_confirmation.header_short;You are about to create an image of unknown proportions.
dialog.image_export_confirmation.header_verbose;You are about to create an image with the dimensions %dx%d.
dialog.import_chunks_confirmation.title;Import chunks
dialog.import_chunks_confirmation.header;You are about to import an unknown number of chunks to this world.
dialog.import_chunks_confirmation.options;Options
dialog.import_chunks_confirmation.options.offset;Offset
dialog.import_chunks_confirmation.options.overwrite;Overwrite existing chunks
dialog.import_chunks_confirmation.options.selection_only;Apply to selection only
dialog.import_chunks_confirmation.options.y_offset;Y-offset
dialog.import_chunks_confirmation.options.sections;Sections
dialog.import_chunks_confirmation.warning;Warning: Importing chunks with an offset will not update contents of command blocks.
dialog.export_chunks_confirmation.title;Export chunks
dialog.export_chunks_confirmation.header_short;You are about to export an unknown number of chunks from this world.
dialog.export_chunks_confirmation.header_verbose;You are about to export %d chunks from this world.
dialog.import_selection.title;Import selection from .csv
